country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,1.43B,1.6B,1.73B,1.89B,2.09B,2.2B,2.26B,2.46B,2.57B,2.58B,2.87B,2.8B,2.64B,2.87B,3.15B,2.71B,3.39B,3.16B,3.62B,3.28B,3.12B,3.16B,3.29B,3.57B,3.68B,3.73B,3.76B,3.87B,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,43B,50B,51.1B,59.8B,65.3B,69.1B,72.5B,70.8B,75.7B,78.2B,83.2B,82B
Angola,35.5B,40.6B,20.6B,19.5B,17B,32.8B,34.9B,42.1B,43.4B,41.9B,45.8B,49.2B,59.2B,62.8B,70.9B,83.8B,95.3B,112B,121B,132B,139B,148B,171B,185B,207B,194B,194B,205B,202B,203B,198B
Albania,8.37B,6.13B,5.65B,6.79B,7.38B,8.62B,9.64B,8.74B,9.74B,11B,12.3B,13.7B,14.6B,15.6B,16.8B,18B,20.2B,22.2B,24.4B,25.4B,27.8B,29.7B,30.3B,31.1B,32.8B,34B,35.3B,36.8B,38.8B,40.1B,38.5B
United Arab Emirates,,,,,,,,,,,323B,335B,335B,368B,416B,455B,518B,555B,572B,545B,555B,606B,632B,648B,679B,604B,602B,642B,663B,687B,
Argentina,224B,256B,287B,320B,345B,341B,365B,402B,420B,411B,417B,406B,360B,403B,418B,468B,568B,640B,680B,641B,711B,775B,799B,829B,821B,850B,866B,1.01TR,1000B,992B,917B
Armenia,9.45B,8.94B,4.45B,4.97B,5.34B,6B,6.48B,7.02B,7.42B,7.76B,8.41B,9.41B,10.9B,12.6B,14.4B,16.9B,19.9B,23.3B,25.6B,21.8B,22.7B,23.9B,28.1B,30.2B,30.5B,30.4B,32.2B,36.9B,39.1B,42.8B,38.7B
Antigua and Barbuda,655M,716M,746M,818M,889M,867M,946M,1.02B,1.09B,1.14B,1.21B,1.21B,1.22B,1.32B,1.43B,1.58B,1.84B,2.07B,2.1B,1.87B,1.77B,1.76B,1.71B,1.66B,1.68B,1.66B,1.76B,1.79B,1.97B,2.04B,1.82B
Australia,285B,295B,306B,329B,350B,364B,388B,410B,438B,463B,490B,516B,549B,575B,612B,640B,682B,727B,763B,844B,832B,900B,944B,1.04TR,1.07TR,1.08TR,1.12TR,1.16TR,1.22TR,1.28TR,1.32TR
Austria,150B,159B,167B,172B,180B,187B,195B,202B,211B,217B,233B,236B,251B,260B,275B,287B,312B,326B,347B,341B,355B,374B,392B,407B,418B,427B,460B,472B,500B,523B,489B
Azerbaijan,,,,24.5B,20.1B,18.1B,18.6B,20.1B,22.3B,24.2B,25.9B,29.1B,32.5B,36.5B,40.1B,50.3B,69.5B,86.8B,103B,117B,126B,126B,139B,153B,161B,139B,131B,133B,137B,144B,145B
Burundi,3.31B,3.6B,3.71B,3.57B,3.5B,3.29B,3.07B,3.09B,3.28B,3.28B,3.42B,3.46B,3.66B,3.66B,3.91B,4.13B,4.52B,4.82B,5.16B,5.36B,5.72B,6.06B,6.37B,7.07B,7.63B,8.55B,8.36B,8.36B,8.73B,9.06B,9.22B
Belgium,186B,197B,205B,209B,222B,232B,236B,247B,255B,266B,292B,302B,318B,327B,338B,352B,377B,396B,416B,415B,441B,453B,481B,499B,514B,528B,556B,579B,608B,636B,606B
Benin,6.14B,6.65B,6.86B,7.57B,7.85B,8.51B,9.05B,9.81B,10.4B,11.1B,12B,13B,13.7B,14.5B,15.5B,16.3B,17.5B,19B,20.4B,21B,21.6B,22.8B,24.2B,26.6B,29B,30.3B,32.4B,33.6B,36.8B,40B,42.1B
Burkina Faso,5.18B,5.84B,5.98B,6.32B,6.53B,7.07B,8.05B,8.68B,9.42B,10.3B,10.7B,11.6B,12.2B,13.4B,14.4B,16.1B,17.8B,19B,20.5B,21.1B,22.7B,24.5B,26.2B,28B,28.5B,29.6B,33.8B,37.8B,41.1B,44.2B,45.7B
Bangladesh,89.2B,95.6B,103B,111B,118B,127B,135B,144B,153B,163B,175B,188B,200B,214B,232B,255B,283B,314B,343B,364B,389B,422B,481B,519B,555B,592B,643B,693B,767B,846B,875B
Bulgaria,60.5B,55.9B,58B,58.4B,60.6B,63.5B,55.3B,46.3B,50B,47B,51.2B,55.9B,62.3B,66.4B,71.8B,79B,84.5B,89.5B,102B,102B,108B,112B,117B,118B,126B,128B,138B,148B,156B,169B,165B
Bahrain,14B,16B,16.8B,18.6B,18.8B,20.7B,22B,22.4B,24B,25B,27.3B,28.3B,29.1B,31.9B,35.1B,39.3B,43.4B,48.6B,51.4B,49.3B,52.8B,52.6B,63.7B,65.2B,64.9B,59B,60.3B,67.3B,70.2B,72.7B,
Bahamas,5.34B,5.28B,5.28B,5.38B,5.67B,6.64B,7.39B,6.98B,6.7B,7.72B,8.21B,8.56B,8.95B,9.04B,9.38B,9.97B,10.5B,10.9B,11.1B,10.6B,10.8B,11.1B,11.6B,11.7B,11.8B,12.1B,12.4B,13.5B,13.9B,14.5B,12.3B
Bosnia and Herzegovina,,,,,3.34B,4.13B,8.32B,11.6B,16.5B,17.8B,18.9B,19.5B,20.8B,21.5B,24.5B,25.4B,28.7B,31.7B,35.1B,35.1B,35.2B,36.8B,37.4B,39.5B,40.1B,41.5B,44.3B,45.7B,49.3B,52.3B,51.4B
Belarus,53.3B,54.4B,50.3B,47.6B,42.7B,39.1B,41B,46.3B,50.8B,53.4B,57.7B,61.8B,66B,72.2B,82.6B,93B,105B,117B,131B,131B,143B,153B,167B,173B,174B,164B,161B,167B,177B,184B,182B
Belize,613M,705M,802M,868M,878M,910M,935M,991M,1.03B,1.12B,1.29B,1.36B,1.45B,1.58B,1.67B,1.77B,1.91B,1.92B,2.03B,2.18B,2.19B,2.37B,2.26B,2.31B,2.33B,2.47B,2.5B,2.52B,2.58B,2.71B,2.34B
Bermuda,,,,,,,,,,,,,,,,,,,,,4.7B,4.64B,4.57B,4.69B,4.65B,4.86B,5.07B,5.44B,5.5B,5.53B,
Bolivia,15.5B,16.9B,17.8B,19B,20.4B,21.8B,23.2B,24.9B,26.6B,27B,28.2B,29.3B,30.5B,31.5B,33.5B,36.2B,39.3B,42.1B,45.8B,47.4B,49.6B,53.5B,57.8B,65.5B,71.7B,74.9B,81.2B,91.5B,98.2B,103B,96.3B
Brazil,971B,1.02TR,1.05TR,1.11TR,1.18TR,1.29TR,1.33TR,1.39TR,1.39TR,1.41TR,1.54TR,1.59TR,1.66TR,1.71TR,1.87TR,1.99TR,2.14TR,2.34TR,2.49TR,2.52TR,2.71TR,2.89TR,2.92TR,3.09TR,3.13TR,2.96TR,2.88TR,2.96TR,3.06TR,3.16TR,3.09TR
Barbados,2.44B,2.43B,2.36B,2.42B,2.52B,2.61B,2.75B,2.95B,3.1B,3.14B,3.34B,3.32B,3.39B,3.51B,3.69B,3.91B,4.2B,4.5B,4.57B,4.41B,4.44B,4.32B,4.18B,4.18B,4.14B,4.23B,4.35B,4.32B,4.39B,4.52B,3.74B
Brunei,14.5B,15.4B,16.5B,17B,17.9B,19.1B,20B,20B,20.1B,21.1B,22.1B,23.2B,24.5B,25.7B,26.5B,27.5B,29.5B,30.5B,30.5B,30.2B,31B,32.2B,34.4B,33.5B,33.3B,27.3B,25.4B,27.4B,26.7B,28.8B,
Bhutan,774M,775M,804M,850M,940M,972M,1.06B,1.17B,1.16B,1.24B,1.59B,1.76B,1.96B,2.14B,2.32B,2.59B,2.89B,3.48B,3.66B,3.89B,4.33B,4.73B,5.11B,5.28B,5.79B,6.42B,7.04B,7.59B,7.98B,8.56B,8.09B
Botswana,7.1B,8.25B,8.78B,9.54B,8.94B,10.2B,10.5B,11.9B,12.8B,13.2B,13.6B,14.4B,13.9B,15.4B,16B,17.7B,19.9B,22.4B,24.2B,23.6B,25.2B,28.1B,27.3B,29B,33.1B,31.9B,34.2B,35.1B,37.3B,39.4B,36.6B
Central African Republic,1.75B,1.81B,1.73B,1.78B,1.88B,2.07B,2.02B,2.18B,2.3B,2.44B,2.42B,2.6B,2.73B,2.65B,2.86B,2.99B,3.22B,3.47B,3.59B,3.96B,4.23B,4.49B,4.91B,3.31B,3.25B,3.58B,3.91B,4.41B,4.79B,5.02B,5.05B
Canada,,,,,,,,732B,767B,818B,877B,911B,946B,998B,1.06TR,1.15TR,1.22TR,1.28TR,1.32TR,1.29TR,1.34TR,1.4TR,1.44TR,1.53TR,1.6TR,1.57TR,1.66TR,1.74TR,1.83TR,1.88TR,1.81TR
Switzerland,,,,,,222B,228B,242B,252B,262B,281B,284B,290B,303B,315B,335B,372B,388B,387B,420B,453B,463B,489B,513B,526B,559B,573B,574B,598B,631B,610B
Chile,56.7B,63.4B,73.9B,82.4B,88.9B,102B,113B,124B,132B,132B,141B,150B,156B,161B,174B,188B,226B,249B,254B,254B,288B,329B,357B,374B,389B,396B,413B,433B,442B,474B,458B
China,1.12TR,1.26TR,1.47TR,1.71TR,1.98TR,2.21TR,2.47TR,2.76TR,2.99TR,3.28TR,3.64TR,4.02TR,4.48TR,5.04TR,5.72TR,6.54TR,7.64TR,9TR,10.1TR,11TR,12.3TR,13.7TR,15.1TR,16.1TR,17.1TR,17.7TR,18.6TR,19.9TR,21.6TR,23.4TR,24.1TR
Cote d'Ivoire,20.9B,22B,22.7B,23.1B,24.6B,27.1B,30.1B,32.3B,34.8B,35.7B,34.2B,34.2B,33.7B,32.9B,35.9B,40.6B,42.4B,44.3B,46.4B,48.3B,49.9B,48.6B,54.8B,59.7B,69B,106B,110B,115B,124B,136B,140B
Cameroon,20.9B,20.4B,20.3B,19.3B,20.1B,21.1B,22.4B,24B,25.7B,27.3B,28.4B,30B,32B,34.9B,38.8B,40.7B,44B,46.9B,49.8B,51.9B,54B,57.4B,60.4B,65B,71.7B,74.9B,80.1B,85.7B,91.3B,96.4B,98.7B
"Congo, Dem. Rep.",,,,,20.3B,20.4B,22.3B,21.4B,21.4B,20.1B,20.6B,20B,21.3B,23.1B,25.2B,27.2B,29.8B,32.4B,34B,36.2B,39.2B,42.4B,43.7B,49.1B,57.4B,64B,74.3B,83.8B,90.9B,96.5B,98.7B
"Congo, Rep.",6.91B,7.37B,8.02B,7.58B,7.72B,5.82B,6.11B,7.5B,8.29B,7.62B,8.46B,8.95B,9.69B,10.2B,10.1B,12B,14.9B,14.2B,16B,18.9B,21.3B,21.5B,27B,27.4B,28.5B,22.4B,18.3B,18.6B,18B,16.9B,17.2B
Colombia,159B,169B,180B,196B,214B,230B,238B,250B,256B,249B,259B,269B,279B,293B,317B,346B,380B,415B,435B,445B,468B,507B,533B,571B,606B,621B,658B,680B,719B,769B,726B
Comoros,652M,638M,715M,751M,724M,767M,770M,815M,833M,863M,978M,1.02B,1.06B,1.1B,1.15B,1.22B,1.29B,1.34B,1.42B,1.48B,1.55B,1.65B,1.81B,1.96B,2.07B,2.11B,2.29B,2.48B,2.63B,2.73B,2.9B
Cape Verde,362M,378M,429M,476M,578M,671M,759M,859M,974M,1.09B,1.27B,1.34B,1.42B,1.51B,1.71B,1.86B,2.05B,2.47B,2.67B,2.66B,2.68B,2.86B,2.81B,2.86B,2.83B,3.03B,3.24B,3.45B,3.73B,4.02B,3.47B
Costa Rica,15B,16.2B,18.1B,19.9B,21.5B,22.7B,23.6B,25.3B,27.1B,28.2B,29.6B,31.3B,32.9B,35B,37.7B,40.6B,45.3B,50.5B,54.2B,53.4B,57B,60.6B,65B,68.6B,73.9B,79.3B,89.5B,95.5B,99.4B,104B,101B
Cayman Islands,,,,,,,,,,,,,,,,,,,,,3.4B,3.58B,2.51B,2.25B,2.21B,2.35B,2.51B,2.96B,3.29B,3.77B,
Cyprus,7.68B,8B,8.94B,9.22B,9.96B,10.5B,10.9B,11.3B,13.1B,12.7B,13.5B,14.9B,15.9B,16.7B,17.8B,19.4B,21.3B,23.6B,26.9B,27.3B,27.3B,29.1B,27.3B,25.9B,25B,26.8B,29.2B,31.6B,33.9B,35.1B,32.9B
Czech Republic,,,122B,126B,132B,142B,149B,150B,152B,155B,163B,175B,179B,192B,203B,215B,229B,253B,273B,270B,270B,280B,288B,303B,319B,333B,356B,388B,413B,434B,434B
Germany,1.56TR,1.68TR,1.75TR,1.77TR,1.85TR,1.92TR,1.97TR,2.01TR,2.07TR,2.14TR,2.22TR,2.32TR,2.38TR,2.44TR,2.6TR,2.64TR,2.86TR,3.02TR,3.13TR,3.09TR,3.25TR,3.5TR,3.57TR,3.71TR,3.88TR,3.98TR,4.27TR,4.48TR,4.68TR,4.77TR,4.6TR
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,3.72B,4.04B,4.43B,4.6B,4.82B,5.29B,5.46B,5.55B
Dominica,295M,306M,320M,337M,338M,353M,365M,383M,405M,400M,400M,429M,419M,457M,477M,501M,564M,611M,672M,678M,696M,708M,679M,700M,751M,765M,821M,811M,845M,876M,773M
Denmark,90.4B,94.6B,99.1B,102B,110B,116B,122B,129B,135B,140B,150B,155B,163B,164B,178B,187B,205B,214B,229B,225B,243B,253B,256B,271B,280B,287B,305B,326B,342B,358B,365B
Dominican Republic,25.3B,26.3B,29.9B,32.3B,34.1B,36.8B,40B,44.3B,47.8B,51.2B,54.9B,57.5B,61B,59.8B,62B,72B,81.4B,89.6B,95.6B,97.3B,107B,112B,114B,119B,130B,145B,160B,168B,184B,197B,185B
Algeria,172B,172B,181B,183B,184B,193B,204B,212B,226B,235B,249B,267B,284B,310B,332B,359B,380B,414B,436B,445B,470B,490B,488B,487B,495B,465B,467B,478B,491B,504B,483B
Ecuador,45.5B,49.7B,52.7B,55.4B,59.3B,62.1B,64.1B,68.4B,71B,66.9B,69.1B,74.7B,79.6B,83.1B,91.9B,100B,109B,114B,126B,128B,134B,148B,157B,173B,184B,176B,179B,191B,197B,200B,187B
Egypt,203B,219B,234B,246B,261B,280B,299B,321B,344B,369B,401B,427B,439B,461B,492B,530B,588B,649B,708B,741B,772B,798B,936B,967B,962B,1.05TR,1.04TR,1.04TR,1.12TR,1.19TR,1.25TR
Eritrea,,,1.84B,2.13B,2.64B,2.81B,3.05B,3.37B,3.51B,3.57B,3.51B,3.88B,4.04B,4B,4.15B,4.41B,4.51B,4.71B,4.31B,4.51B,4.65B,5.16B,,,,,,,,,
Spain,525B,556B,574B,584B,602B,640B,666B,709B,758B,799B,870B,925B,998B,1.05TR,1.11TR,1.19TR,1.34TR,1.43TR,1.49TR,1.46TR,1.46TR,1.46TR,1.47TR,1.5TR,1.55TR,1.62TR,1.74TR,1.84TR,1.91TR,1.99TR,1.82TR
Estonia,,,,,,,,,,,12.7B,13.6B,15.2B,16.9B,18.7B,21.5B,24.6B,27.4B,28.9B,26.7B,27.5B,31.2B,33.2B,35.6B,37.2B,37.8B,40.6B,43.5B,47.1B,50.3B,50.8B
Ethiopia,19.8B,19B,17.7B,20.4B,21.5B,23.4B,26.8B,28B,27.4B,29.3B,31.7B,35.2B,36.2B,36.1B,42.2B,48.8B,55.7B,64B,72.2B,79B,89.8B,102B,112B,122B,148B,166B,194B,214B,234B,258B,277B
Finland,88.7B,85.4B,83.4B,84.2B,90.1B,96.9B,100B,110B,119B,127B,138B,144B,149B,150B,164B,169B,183B,200B,213B,205B,212B,221B,222B,227B,230B,235B,248B,262B,275B,286B,285B
Fiji,2.95B,2.99B,3.23B,3.38B,3.57B,3.84B,4.13B,4.09B,4.12B,4.55B,4.83B,4.89B,5.21B,5.32B,5.75B,6.06B,6.02B,6.24B,6.41B,6.51B,6.59B,6.92B,7.36B,8.09B,9.38B,10.1B,10.4B,10.9B,11.7B,11.7B,9.78B
France,1.03TR,1.07TR,1.12TR,1.14TR,1.19TR,1.24TR,1.28TR,1.35TR,1.42TR,1.5TR,1.62TR,1.72TR,1.78TR,1.78TR,1.85TR,1.96TR,2.1TR,2.23TR,2.31TR,2.3TR,2.39TR,2.51TR,2.53TR,2.67TR,2.72TR,2.78TR,2.92TR,3.05TR,3.19TR,3.39TR,3.19TR
"Micronesia, Fed. Sts.",,,,245M,250M,260M,255M,236M,243M,256M,274M,285M,290M,299M,302M,319M,329M,333M,328M,344M,348M,365M,371M,375M,373M,433M,433M,442M,409M,467M,
Gabon,10.6B,11.7B,11.2B,11.8B,12.8B,13.5B,14.3B,15.3B,16.4B,15B,14.6B,15.5B,16.4B,16.7B,16.4B,18.5B,17.8B,19.1B,19B,19.7B,20.9B,22.7B,24.2B,24.8B,27.4B,26.3B,26.5B,29B,29.9B,31.1B,31.4B
United Kingdom,991B,1.02TR,1.06TR,1.11TR,1.19TR,1.15TR,1.23TR,1.32TR,1.39TR,1.43TR,1.56TR,1.65TR,1.74TR,1.83TR,1.93TR,2TR,2.11TR,2.17TR,2.24TR,2.17TR,2.29TR,2.36TR,2.41TR,2.51TR,2.61TR,2.71TR,2.83TR,2.98TR,3.09TR,3.18TR,2.98TR
Georgia,,,12.6B,9B,8.22B,8.38B,9.7B,11.6B,12.3B,12.8B,12.8B,13.6B,14.6B,16.5B,18.1B,20.4B,23.2B,26.4B,27.3B,26.5B,28.1B,30.5B,36.3B,38.7B,42.5B,44B,45.7B,48.2B,52.3B,55.5B,52.6B
Ghana,18.1B,19.7B,20.9B,22.4B,23.6B,25.1B,26.7B,28.4B,30B,31.8B,33.5B,35.8B,38B,40.7B,44.2B,48.5B,53.3B,57.1B,63.6B,67.3B,72.5B,83.1B,93.3B,137B,144B,141B,137B,142B,155B,167B,170B
Guinea,5.39B,5.72B,6.1B,6.64B,7.06B,7.54B,8.02B,8.55B,8.93B,9.48B,9.92B,10.5B,11.3B,11.2B,11.7B,12.3B,13.6B,14.9B,15.7B,15.5B,16.7B,17.8B,18.8B,18.8B,19.5B,20.5B,24B,29B,30.7B,32.5B,33.8B
Gambia,1.4B,1.51B,1.61B,1.7B,1.74B,1.81B,1.88B,1.98B,2.07B,2.23B,2.39B,2.58B,2.51B,2.78B,3.14B,3.16B,3.23B,3.43B,3.73B,4B,4.28B,4B,4.1B,4.08B,4.01B,4.21B,4.36B,4.5B,4.95B,5.35B,5.41B
Guinea-Bissau,962M,1.03B,1.07B,1.12B,1.18B,1.25B,1.42B,1.55B,1.12B,1.15B,1.25B,1.29B,1.32B,1.35B,1.43B,1.54B,1.64B,1.75B,1.82B,1.9B,2.03B,2.26B,2.19B,2.21B,2.42B,2.84B,3.19B,3.53B,3.53B,3.96B,3.9B
Equatorial Guinea,289M,301M,421M,471M,488M,544M,900M,2.44B,2.81B,3.76B,3.57B,4.06B,5.42B,5.38B,7.06B,10.6B,18.3B,22B,24.5B,22.3B,18.3B,21.9B,25.7B,25.6B,25.7B,21.2B,19.3B,21B,20.9B,19.1B,18.7B
Greece,,,,,,,,,,,,,,,,,308B,315B,332B,330B,304B,277B,277B,284B,292B,289B,294B,306B,315B,328B,304B
Grenada,436M,466M,476M,472M,491M,505M,536M,572M,641M,693M,735M,724M,754M,843M,838M,1.05B,1.04B,1.12B,1.16B,1.05B,1.09B,1.14B,1.15B,1.24B,1.29B,1.37B,1.51B,1.6B,1.73B,1.8B,1.62B
